Player,Matches,Minutes,Shots,Goals,Assists,Fouls,Yellow_Cards
ELANO BLUMER,6,515,29,8,1,5,3
FIKRU TEFERRA LEMESSA,5,448,10,3,2,18,2
SERGIO CONTRERAS PARDO,6,473,8,3,1,1,0
ANDRÉ FRANCISCO MORITZ,6,440,21,3,1,3,1
NICOLAS ANELKA,3,270,7,2,0,1,0
CAVIN LOBO,3,246,9,2,0,5,1
IAIN HUME,5,450,17,2,1,6,1
DAVID TREZEGUET,5,423,9,2,0,1,0
KONSTANTINOS KATSOURANIS,6,509,11,2,0,2,1
JOHN STIVEN MENDOZA VALENCIA,6,382,15,2,0,7,1
GRÉGORY ARNOLIN,6,508,5,2,0,8,1
MADS JUNKER,6,395,9,2,0,1,0
DAVIDE COLOMBA,2,180,4,1,2,0,0
PAVEL ELIÁŠ,2,180,2,1,0,0,0
SHEIKH JEWEL RAJA,2,166,2,1,0,1,0
TOLGAY ÖZBEY,3,60,2,1,0,3,1
ANDRÉ CLARINDO DOS SANTOS,4,271,14,1,0,7,1
JEJE LALPEKHLUA,4,179,4,1,0,8,0
MILAGRES GONSALVES,4,185,3,1,1,4,0
JOHN GOOSSENS,4,188,9,1,1,3,0
SYED RAHIM NABI,4,230,2,1,0,3,1
SEIMINLEN DOUNGEL,4,135,3,1,0,2,0
MACPHERLIN DUDU OMAGBEMI,4,236,7,1,0,11,0
GUILHERME FELIPE DE CASTRO,5,418,7,1,0,3,2
WIM RAYMAEKERS,5,432,5,1,0,5,1
